Date,Open,High,Low,Close
03/21/2025,"41,763.40","42,011.40","41,433.86","41,985.35"
03/20/2025,"41,795.26","42,250.29","41,695.61","41,953.32"
03/19/2025,"41,613.19","42,178.41","41,613.19","41,964.63"
03/18/2025,"41,772.91","41,787.25","41,415.43","41,581.31"
03/17/2025,"41,460.22","42,013.10","41,412.75","41,841.63"
03/14/2025,"41,057.57","41,528.11","40,929.54","41,488.19"
03/13/2025,"41,280.05","41,360.12","40,661.77","40,813.57"
03/12/2025,"41,577.50","41,721.36","41,010.24","41,350.93"
03/11/2025,"41,837.95","41,868.27","41,175.37","41,433.48"
03/10/2025,"42,507.65","42,541.36","41,612.92","41,911.71"
03/07/2025,"42,503.07","42,898.68","42,175.62","42,801.72"
03/06/2025,"42,848.49","42,970.49","42,381.56","42,579.08"
03/05/2025,"42,518.37","43,135.92","42,418.73","43,006.59"
03/04/2025,"43,040.30","43,084.00","42,347.75","42,520.99"
03/03/2025,"43,900.49","44,033.78","42,919.31","43,191.24"
02/28/2025,"43,259.84","43,873.55","43,100.87","43,840.91"
02/27/2025,"43,516.44","43,884.19","43,224.53","43,239.50"
02/26/2025,"43,635.42","43,866.50","43,318.93","43,433.12"
02/25/2025,"43,509.74","43,767.74","43,282.98","43,621.16"
02/24/2025,"43,493.12","43,699.15","43,343.67","43,461.21"
02/21/2025,"43,820.13","43,959.73","43,349.33","43,428.02"
02/20/2025,"44,561.11","44,561.11","43,950.16","44,176.65"
02/19/2025,"44,478.12","44,636.19","44,312.65","44,627.59"
02/18/2025,"44,583.91","44,602.02","44,319.32","44,556.34"
02/14/2025,"44,720.99","44,769.05","44,498.96","44,546.08"
02/13/2025,"44,425.94","44,768.26","44,366.62","44,711.43"
02/12/2025,"44,357.70","44,467.21","44,104.48","44,368.56"
02/11/2025,"44,401.38","44,640.60","44,319.51","44,593.65"
02/10/2025,"44,396.92","44,622.19","44,301.42","44,470.41"
02/07/2025,"44,762.57","44,857.11","44,279.78","44,303.40"
02/06/2025,"44,949.19","44,966.63","44,545.27","44,747.63"
02/05/2025,"44,563.63","44,886.88","44,352.99","44,873.28"
02/04/2025,"44,469.46","44,597.71","44,328.52","44,556.04"
02/03/2025,"44,268.15","44,594.54","43,879.06","44,421.91"
01/31/2025,"45,054.36","45,054.36","44,507.22","44,544.66"
01/30/2025,"44,548.69","45,008.75","44,548.69","44,882.13"
01/29/2025,"44,819.55","44,962.58","44,579.10","44,713.52"
01/28/2025,"44,756.36","44,976.35","44,621.96","44,850.35"
01/27/2025,"44,148.84","44,727.85","44,026.27","44,713.58"
01/24/2025,"44,533.75","44,545.52","44,332.22","44,424.25"
01/23/2025,"44,113.55","44,565.26","44,113.55","44,565.07"
01/22/2025,"44,178.06","44,208.34","44,042.11","44,156.73"
01/21/2025,"43,528.65","44,050.13","43,528.65","44,025.81"
01/17/2025,"43,312.55","43,653.25","43,312.55","43,487.83"
01/16/2025,"43,290.25","43,294.81","43,081.75","43,153.13"
01/15/2025,"42,927.76","43,323.49","42,927.76","43,221.55"
01/14/2025,"42,366.42","42,544.57","42,157.03","42,518.28"
01/13/2025,"41,924.68","42,319.60","41,844.89","42,297.12"
01/10/2025,"42,540.29","42,540.29","41,877.30","41,938.45"
01/08/2025,"42,542.10","42,656.22","42,327.79","42,635.20"
